id,straight_distance,network_distance,weekly_pa,sex,age,ses
85,112,459,281,Male,46,II
86,319,940,358,Male,55,II
87,374,643,338,Female,66,IV
88,221,294,290,Male,46,IV
89,109,678,304,Female,60,II
90,758,1135,273,Female,55,II
91,215,451,292,Female,55,I
92,627,912,274,Female,57,I
93,169,540,300,Female,54,II
94,135,616,234,Male,53,IV
95,48,304,331,Male,74,IV
96,598,632,308,Male,55,III
97,345,812,305,Male,46,IV
98,194,577,286,Male,42,I
99,411,850,307,Female,58,III
100,857,1123,263,Female,41,I
101,205,472,266,Male,44,II
102,227,458,287,Male,30,I
103,452,706,280,Male,52,I
104,336,720,239,Female,55,III
105,331,613,298,Male,58,IV
106,448,781,271,Female,58,III
107,492,588,282,Male,56,III
108,141,523,285,Female,46,I
109,485,1054,304,Male,44,V
110,265,796,297,Female,23,I
111,355,739,302,Female,53,I
112,76,562,313,Female,37,I
113,37,590,328,Female,58,III
114,494,631,302,Male,54,III
115,235,358,297,Female,66,III
116,551,725,260,Male,42,I
117,393,538,278,Male,61,III
118,172,518,265,Female,47,I
119,381,679,316,Female,46,V
120,789,1232,275,Female,52,III
121,170,176,274,Female,31,V
122,387,885,285,Male,57,III
123,400,872,263,Female,48,II
124,588,1192,238,Female,38,III
125,261,591,263,Male,54,V
126,446,756,316,Male,52,I
127,407,812,304,Female,31,I
128,303,544,317,Female,55,IV
129,276,535,292,Male,54,III
130,370,881,248,Female,49,III
131,122,510,231,Female,43,II
132,427,582,284,Female,54,II
133,102,293,272,Male,54,I
134,349,753,331,Female,53,I
135,304,865,280,Male,63,I
136,75,276,298,Male,29,I
137,181,748,243,Female,39,II
138,446,610,312,Male,58,II
139,287,679,284,Female,49,II
140,1000,1127,245,Female,39,III
141,137,287,245,Male,33,V
142,84,253,301,Male,48,I
143,275,674,266,Male,65,V
144,455,718,256,Female,50,IV
145,249,603,287,Male,57,I
146,170,520,302,Male,50,I
147,429,914,284,Female,49,II
148,691,853,283,Male,50,II
149,1000,1308,274,Female,42,I
150,188,482,315,Female,63,V
151,204,323,333,Male,45,II
152,215,215,242,Female,44,III
153,342,622,252,Female,65,II
154,794,978,287,Female,30,IV
155,176,296,319,Female,45,I
156,333,421,317,Male,47,IV
157,226,757,309,Female,72,V
158,188,356,331,Female,40,III
159,284,462,237,Male,50,III
160,493,880,327,Female,62,IV
161,641,1090,241,Male,44,V
162,228,660,281,Female,38,II
163,171,418,269,Male,42,III
164,296,898,279,Male,61,II
165,665,665,300,Female,45,II
166,113,435,294,Male,34,V
167,94,488,297,Male,59,II
168,187,873,322,Male,49,II
169,876,1055,293,Female,29,I
170,308,631,232,Male,32,II
171,111,693,250,Male,56,III
172,213,411,297,Female,63,II
173,324,664,240,Male,69,IV
174,1000,1472,250,Female,63,I
175,715,984,264,Male,52,I
176,168,577,295,Female,56,II
177,355,931,311,Male,35,V
178,64,448,258,Female,58,IV
179,80,502,266,Male,69,I
180,431,724,230,Female,51,IV
181,982,1278,282,Male,50,V
182,286,822,293,Male,42,III
183,485,737,268,Male,45,I
184,105,607,279,Male,75,III
185,415,626,266,Male,49,V
186,874,1045,281,Female,60,I
187,297,511,266,Male,56,III
188,196,607,287,Female,33,IV
189,297,875,260,Female,62,IV
190,246,514,322,Female,57,V
191,151,351,284,Male,56,V
192,159,369,318,Male,53,I
193,108,307,277,Male,56,III
194,956,1238,282,Male,50,I
195,618,1186,322,Female,42,III
196,615,885,266,Female,50,III
197,153,669,267,Female,48,III
198,288,362,308,Female,56,II
199,67,265,296,Male,50,V
200,236,676,315,Female,59,IV
201,33,539,291,Female,63,V
202,94,440,212,Female,51,II
203,132,409,351,Male,39,IV
204,1000,1000,300,Female,35,IV
205,222,411,302,Male,38,V
206,170,572,341,Male,54,II
207,279,714,252,Female,57,II
208,583,911,244,Female,74,II
209,94,257,302,Male,40,V
210,353,881,288,Male,74,III
211,258,324,304,Female,54,V
212,303,622,292,Female,30,II
213,549,845,316,Male,33,IV
214,269,669,320,Male,54,V
215,258,523,256,Male,59,III
216,533,632,327,Male,53,II
217,604,894,297,Female,39,IV
218,97,662,288,Female,21,I
219,249,249,250,Male,54,III
220,312,707,277,Female,67,II
221,205,711,280,Male,40,II
222,619,1182,242,Male,18,IV
223,175,388,277,Female,44,I
224,97,349,317,Female,59,I
225,228,587,346,Female,50,II
226,423,786,304,Female,65,III
227,94,318,331,Female,41,I
228,749,947,235,Female,54,II
229,208,460,336,Female,69,IV
230,327,659,275,Male,33,III
231,305,455,256,Male,45,II
232,765,1170,299,Female,48,IV
233,187,407,300,Male,50,I
234,658,1013,251,Male,72,IV
235,202,494,265,Female,63,II
236,364,752,294,Female,53,IV
237,534,1016,275,Female,56,II
238,466,813,248,Male,44,II
239,191,358,296,Female,56,II
240,129,150,356,Female,38,IV
241,99,468,280,Male,43,I
242,429,836,260,Female,63,IV
243,235,619,320,Female,36,IV
244,175,528,249,Male,57,V
245,343,878,343,Female,51,IV
246,791,1061,288,Male,66,I
247,536,900,270,Male,39,IV
248,362,362,284,Female,43,IV
249,265,757,219,Female,40,II
250,561,973,267,Female,49,III
251,195,268,293,Female,44,V
252,333,333,239,Female,49,V
253,296,698,270,Male,61,II
254,127,226,281,Male,20,IV
255,105,335,343,Male,45,III
256,521,742,326,Female,68,III
257,147,386,272,Female,49,V
258,173,542,272,Male,47,I
259,364,577,324,Female,50,V
260,106,588,307,Female,39,I
261,66,161,319,Male,59,V
262,438,926,259,Male,52,III
263,320,698,296,Male,60,III
264,216,490,315,Male,54,I
265,179,424,231,Female,57,I
266,428,837,292,Female,34,II
267,118,557,243,Male,34,I
268,422,621,268,Male,55,II
269,377,656,277,Female,40,IV
270,287,557,312,Male,37,V
271,469,887,262,Male,56,II
272,355,747,243,Female,47,II
273,209,329,297,Male,41,V
274,415,468,291,Male,43,IV
275,96,261,327,Female,62,II
276,266,761,248,Male,46,II
277,484,852,305,Female,61,IV
278,86,505,335,Female,58,III
279,620,1131,252,Male,53,V
280,1000,1141,223,Male,64,I
281,459,672,282,Male,26,V
282,427,898,271,Male,62,III
283,78,333,274,Female,57,I
284,431,538,255,Male,57,II
285,277,826,293,Female,27,I
286,530,797,325,Female,68,V
287,232,232,353,Female,67,I
288,308,418,292,Female,43,II
289,305,583,251,Male,49,V
290,388,722,301,Male,62,IV
291,161,560,350,Male,55,V
292,654,810,257,Male,36,I
293,309,592,260,Male,47,I
294,578,830,230,Female,49,II
295,347,512,306,Female,41,IV
296,944,1216,293,Male,50,III
297,137,396,342,Male,65,III
298,162,599,293,Male,47,I
299,629,870,309,Female,35,IV
300,634,782,260,Male,51,III
301,142,565,290,Female,33,V
302,158,569,316,Female,46,II
303,674,906,288,Female,44,III
304,166,540,280,Male,58,IV
305,388,534,396,Male,34,III
306,98,448,262,Male,36,V
307,586,857,301,Male,58,V
308,315,700,293,Female,61,III
309,99,466,217,Male,37,V
310,131,350,264,Female,53,II
311,319,612,264,Female,39,III
312,297,380,290,Male,48,IV
313,205,661,289,Female,38,II
314,518,818,298,Male,42,IV
315,104,544,284,Female,55,III
316,298,917,288,Male,40,V
317,528,935,316,Male,53,IV
318,260,714,196,Male,56,II
319,617,955,238,Female,36,IV
320,137,751,276,Female,54,I
321,168,509,301,Male,59,II
322,1000,1165,249,Female,61,I
323,274,538,310,Male,30,IV
324,1000,1445,305,Female,42,I
325,617,836,301,Female,34,II
326,469,469,283,Male,51,I
327,184,461,293,Female,57,III
328,351,488,277,Male,56,III
329,1000,1087,320,Female,48,II
330,328,724,307,Male,56,II
331,432,645,273,Female,32,II
332,87,331,294,Female,44,II
333,424,767,221,Female,46,II
334,84,401,319,Female,43,IV
335,103,317,276,Female,37,V
336,337,820,285,Female,61,II
337,176,421,276,Male,60,IV
338,660,960,241,Female,32,IV
339,383,532,261,Male,44,V
340,589,1005,233,Female,53,I
341,626,865,288,Female,78,III
342,886,1397,250,Female,57,II
343,844,1263,260,Male,34,IV
344,466,805,307,Male,47,IV
345,287,378,294,Female,62,V
346,636,905,317,Female,59,I
347,744,1112,300,Male,54,II
348,293,753,323,Female,44,IV
349,343,701,264,Female,44,I
350,192,395,287,Male,49,II
351,236,485,312,Female,53,III
352,1000,1320,265,Female,54,II
353,380,592,277,Female,67,III
354,358,901,310,Female,49,III
355,384,635,305,Female,55,I
356,658,658,262,Male,59,V
357,86,227,235,Male,47,I
358,1000,1328,288,Female,54,V
359,180,394,328,Male,65,V
360,595,794,252,Male,56,I
361,293,697,224,Male,60,I
362,169,447,295,Female,39,I
363,221,310,265,Male,53,III
364,247,644,297,Male,43,II
365,271,424,338,Female,44,IV
366,519,543,263,Male,68,II
367,384,829,338,Male,60,IV
368,157,664,283,Female,46,III
369,327,610,276,Male,44,II
370,244,414,299,Male,52,III
371,767,1089,305,Male,57,II
372,473,844,236,Female,62,V
373,223,271,328,Male,66,V
374,280,570,261,Male,34,I
375,715,974,245,Male,36,II
376,790,1155,275,Female,27,III
377,215,442,289,Male,30,II
378,754,1036,246,Female,40,II
379,178,438,273,Female,55,I
380,37,264,334,Male,55,III
381,172,505,283,Female,49,V
382,408,765,272,Male,37,I
383,99,388,318,Male,55,II
384,114,364,326,Female,50,II
385,321,697,321,Male,44,IV
386,445,771,298,Female,41,III
387,503,739,312,Female,57,IV
388,521,619,283,Female,65,I
389,975,1348,236,Female,64,II
390,394,858,280,Female,66,II
391,289,772,271,Male,40,I
392,587,952,312,Male,60,IV
393,252,575,294,Male,47,III
394,425,655,228,Female,74,V
395,262,616,301,Female,39,V
396,570,760,314,Male,61,V
397,395,494,295,Male,38,IV
398,224,394,293,Female,34,II
399,1000,1000,301,Male,33,IV
400,96,463,278,Male,39,II
401,626,1013,305,Female,54,IV
402,413,634,352,Female,46,I
403,210,439,330,Male,42,V
404,158,158,267,Male,47,I
405,1000,1157,257,Female,41,IV
406,267,603,286,Male,60,I
407,249,631,331,Male,45,IV
408,121,218,327,Female,48,IV
409,293,363,225,Male,56,II
410,216,586,270,Male,54,III
411,1000,1319,276,Female,51,V
412,434,825,229,Male,43,II
413,63,445,329,Male,52,V
414,234,331,322,Male,31,V
415,111,417,335,Male,41,III
416,123,495,294,Female,39,IV
417,412,675,296,Female,41,III
418,207,416,267,Female,60,I
419,116,429,311,Male,57,I
420,247,590,233,Male,44,II
421,354,693,269,Male,18,I
422,245,560,298,Male,43,V
423,189,234,276,Female,61,I
424,432,779,302,Male,53,II
425,163,456,326,Female,48,III
426,366,465,268,Female,39,III
427,844,1273,223,Male,26,II
428,400,738,256,Female,52,III
429,241,502,281,Female,45,IV
430,318,356,330,Male,60,III
431,817,1076,292,Female,44,II
432,584,845,296,Female,47,II
433,792,1247,256,Female,46,I
434,193,591,290,Male,50,V
435,245,628,331,Male,44,V
436,756,1085,254,Male,22,I
437,346,537,290,Female,43,II
438,460,708,254,Male,64,III
439,523,870,255,Female,72,III
440,224,465,279,Male,49,III
441,337,839,296,Female,58,I
442,328,714,330,Male,62,V
443,274,347,307,Female,46,IV
444,549,809,267,Female,54,V
445,1000,1312,325,Male,63,III
446,277,797,307,Female,55,II
447,576,765,301,Male,56,IV
448,673,1054,341,Female,41,IV
449,573,927,246,Male,52,I
450,1000,1277,262,Female,50,II
451,194,539,306,Female,67,V
452,167,696,281,Male,42,III
453,347,532,282,Male,77,I
454,479,617,242,Female,47,IV
455,910,1327,301,Female,36,II
456,318,584,288,Male,43,II
457,128,530,300,Male,58,II
458,261,522,360,Male,53,III
459,344,344,289,Male,50,II
460,722,1126,287,Male,57,I
461,206,596,280,Male,60,I
462,210,210,290,Female,68,I
463,95,404,215,Female,47,I
464,150,403,302,Female,45,I
465,762,1194,305,Male,43,III
466,130,283,296,Male,56,IV
467,280,726,261,Female,50,I
468,215,861,337,Male,43,III
469,151,750,292,Male,62,V
470,232,838,296,Female,38,V
471,826,1196,276,Female,51,V
472,371,709,323,Male,45,II
473,214,445,308,Female,35,V
474,381,845,281,Male,39,II
475,321,680,303,Female,36,IV
476,346,622,224,Male,68,IV
477,466,684,274,Female,46,II
478,194,328,323,Female,43,I
479,307,413,302,Male,49,IV
480,361,361,321,Male,44,IV
481,556,1165,285,Male,52,II
482,389,803,270,Male,60,I
483,410,873,272,Female,43,V
484,684,1290,323,Male,55,I
485,135,414,269,Female,59,I
486,762,1014,289,Male,36,I
487,206,654,285,Male,38,V
488,695,1045,286,Female,61,I
489,111,243,266,Female,60,III
490,682,876,289,Male,51,III
491,715,1015,252,Female,45,I
492,63,199,316,Male,39,V
493,523,947,289,Female,51,I
494,404,738,303,Female,43,II
495,264,436,294,Female,56,I
496,252,639,298,Female,55,II
497,33,546,256,Male,37,II
498,197,423,286,Female,57,I
499,325,743,258,Female,61,V
500,398,514,285,Female,48,I
501,280,785,287,Female,59,I
502,150,442,261,Female,41,I
503,365,624,335,Female,48,V
504,313,770,317,Female,45,I
505,138,166,297,Female,67,I
506,212,475,296,Female,44,I
507,184,742,325,Female,49,IV
508,197,549,301,Male,37,I
509,562,771,237,Male,46,III
510,114,581,324,Male,43,III
511,225,441,268,Male,61,I
512,174,373,339,Female,53,I
513,370,634,266,Male,41,II
514,307,317,293,Male,30,III
515,225,403,258,Male,55,I
516,444,725,265,Female,57,III
517,152,523,285,Female,29,II
518,161,807,247,Male,35,I
519,364,654,288,Male,59,II
520,369,746,278,Female,47,I
521,173,425,312,Female,53,IV
522,795,1202,253,Male,52,II
523,231,435,268,Male,58,IV
524,881,1270,280,Male,25,IV
525,404,705,222,Female,42,I
526,659,1041,334,Male,40,III
527,209,268,303,Male,44,V
528,567,673,291,Male,53,I
529,366,612,266,Male,64,I
530,321,739,280,Female,44,IV
531,167,668,277,Male,45,III
532,151,508,288,Male,54,IV
533,306,688,306,Male,38,III
534,415,831,309,Female,54,V
535,367,562,261,Female,29,I
536,404,777,287,Male,54,V
537,672,1309,251,Male,51,II
538,201,385,312,Female,55,IV
539,395,819,273,Male,39,III
540,324,466,268,Male,43,II
541,322,659,269,Female,63,IV
542,285,814,307,Female,50,II
543,333,707,269,Male,64,II
544,498,649,319,Female,56,IV
545,702,1319,291,Female,56,IV
546,582,983,214,Female,73,III
547,169,254,297,Male,55,II
548,506,800,323,Female,34,II
549,438,794,305,Female,65,III
550,606,675,306,Male,47,I
551,475,1016,270,Male,34,III
552,1000,1271,267,Male,57,I
553,153,252,301,Female,57,II
554,225,467,278,Female,36,V
555,1000,1370,297,Male,44,I
556,217,441,314,Male,53,IV
557,988,1164,260,Female,45,II
558,283,544,313,Male,49,IV
559,188,477,299,Male,40,II
560,173,420,325,Male,50,II
561,334,672,300,Female,36,II
562,353,611,275,Female,59,V
563,260,377,278,Female,66,IV
564,996,1407,320,Female,48,V
565,114,601,311,Male,43,II
566,220,793,322,Male,50,III
567,279,604,376,Male,48,I
568,154,447,274,Male,52,V
569,383,550,263,Female,54,V
570,445,524,248,Female,50,II
571,91,292,280,Male,60,V
572,85,220,312,Female,59,III
573,136,418,272,Female,42,V
574,187,662,313,Female,24,V
575,252,463,291,Male,55,I
576,300,486,315,Male,51,IV
577,239,767,309,Female,48,II
578,364,624,347,Female,37,I
579,142,391,329,Female,45,II
580,240,430,248,Male,44,III
581,437,552,284,Female,54,IV
582,515,682,295,Male,41,III
583,1000,1041,254,Male,54,III
584,91,322,295,Male,45,II
585,380,659,262,Male,50,I
586,236,588,272,Female,76,I
587,464,728,306,Male,42,I
588,273,512,287,Female,55,III
589,207,401,314,Female,60,I
590,189,674,242,Male,64,II
591,604,860,278,Female,69,I
592,298,686,321,Female,45,I
593,359,608,265,Male,43,I
594,322,613,297,Female,51,III
595,252,521,307,Male,27,I
596,353,675,285,Male,34,V
597,591,700,309,Female,58,III
598,352,631,324,Male,33,III
599,1000,1325,263,Female,65,V
600,360,591,260,Female,60,I
601,425,717,227,Male,51,I
602,192,587,314,Female,56,IV
603,126,288,252,Male,47,III
604,297,763,286,Female,53,IV
605,912,1285,312,Female,46,V
606,175,632,268,Female,41,V
607,168,459,350,Male,67,IV
608,255,544,277,Female,48,I
609,87,309,350,Male,60,V
610,1000,1107,238,Male,54,IV
611,113,473,239,Male,39,III
612,260,659,315,Female,53,IV
613,383,600,341,Female,55,I
614,196,597,289,Male,64,III
615,1000,1338,207,Male,61,IV
616,1000,1193,278,Male,46,V
617,357,708,305,Female,48,I
618,1000,1250,274,Female,46,V
619,84,485,303,Male,40,III
620,247,542,292,Male,60,III
621,595,1031,212,Male,57,V
622,377,869,297,Male,49,V
623,355,617,309,Male,56,III
624,270,695,295,Male,47,V
625,183,444,283,Male,66,I
626,244,775,274,Male,40,IV
627,573,1174,292,Female,51,III
628,533,910,286,Male,47,III
629,251,826,280,Female,48,V
630,736,805,286,Female,61,I
631,758,794,313,Female,39,II
632,307,580,302,Female,61,III
633,104,437,313,Female,38,V
634,160,449,309,Male,52,IV
635,94,285,297,Female,49,II
636,191,600,304,Female,58,V
637,208,561,285,Female,74,IV
638,295,708,268,Female,51,II
639,466,598,288,Male,52,III
640,353,353,248,Female,65,I
641,121,556,308,Male,59,III
642,387,955,322,Male,35,I
643,179,648,271,Female,46,II
644,336,748,316,Male,30,I
645,95,394,342,Male,54,V
646,78,494,289,Male,50,V
647,499,1052,302,Female,50,I
648,227,415,320,Male,56,IV
649,528,797,252,Male,62,IV
650,461,632,328,Male,49,I
651,278,831,252,Female,56,III
652,350,895,281,Male,91,IV
653,177,321,329,Female,50,V
654,559,840,280,Female,42,III
655,152,308,262,Female,56,V
656,178,685,286,Male,28,V
657,616,887,342,Male,58,II
658,164,364,305,Male,59,I
659,178,380,288,Male,43,III
660,181,571,284,Female,52,V
661,478,705,236,Female,26,III
662,329,329,276,Female,54,II
663,256,448,261,Male,52,III
664,429,510,299,Male,60,I
665,280,349,299,Male,76,IV
666,538,823,189,Female,36,V
667,256,718,267,Female,54,V
668,109,621,303,Female,32,IV
669,634,989,260,Male,61,V
670,528,859,258,Female,50,I
671,248,425,324,Male,53,V
672,354,376,309,Female,67,I
673,144,621,270,Male,55,III
674,729,1026,233,Female,43,III
675,421,955,299,Male,36,IV
676,306,451,266,Female,46,IV
677,569,929,246,Male,68,IV
678,173,501,272,Male,54,III
679,204,335,277,Female,33,III
680,503,748,248,Male,42,II
681,90,624,261,Female,31,III
682,112,346,296,Male,47,II
683,285,791,259,Female,56,II
684,121,718,282,Male,36,IV
685,1000,1071,294,Female,41,II
686,275,574,234,Female,57,I
687,762,1313,255,Female,47,I
688,402,955,323,Female,44,I
689,158,387,292,Female,71,V
690,399,817,270,Female,44,I
691,536,775,272,Female,66,IV
692,175,546,323,Male,44,II
693,134,413,326,Female,18,II
694,200,327,311,Female,43,V
695,322,720,248,Male,61,I
696,171,644,319,Female,41,IV
697,96,564,236,Female,54,II
698,759,1248,304,Female,48,V
699,375,668,309,Female,46,V
700,199,267,317,Male,48,II
701,468,868,264,Female,34,IV
702,197,811,307,Female,43,V
703,59,59,307,Male,47,II
704,460,713,248,Female,48,V
705,352,631,291,Female,63,IV
706,886,1203,203,Male,64,IV
707,98,358,313,Female,34,I
708,257,659,248,Male,63,IV
709,449,775,267,Male,33,IV
710,904,1328,245,Male,41,IV
711,102,417,272,Male,79,V
712,136,550,305,Male,52,IV
713,1000,1483,321,Female,46,III
714,130,618,340,Female,75,IV
715,222,774,194,Female,66,III
716,130,409,248,Female,46,II
717,318,466,242,Male,56,V
718,169,242,230,Female,65,IV
719,506,817,330,Female,48,III
720,430,738,329,Male,56,IV
721,1000,1440,280,Female,72,IV
722,506,722,297,Male,51,III
723,297,556,257,Male,31,IV
724,293,366,256,Male,64,V
725,298,954,230,Female,49,II
726,158,577,313,Male,41,II
727,717,979,303,Female,37,III
728,342,545,325,Female,55,II
729,113,292,337,Male,35,I
730,755,988,263,Female,40,II
731,200,426,245,Female,28,V
732,476,792,309,Male,39,I
733,317,649,294,Male,37,V
734,788,1307,287,Male,58,V
735,272,709,279,Female,56,II
736,467,587,317,Female,38,I
737,369,749,272,Female,72,I
738,172,771,222,Female,49,IV
739,176,464,335,Female,24,I
740,202,556,314,Female,57,IV
741,91,508,332,Female,38,V
742,175,436,285,Male,46,III
743,976,1404,270,Female,33,I
744,315,342,292,Male,43,II
745,933,1366,240,Female,52,V
746,724,1375,290,Male,52,IV
747,612,1134,275,Male,27,IV
748,420,985,304,Female,38,II
749,91,471,306,Female,50,V
750,563,839,271,Male,57,V
751,277,656,311,Male,42,II
752,218,809,337,Female,44,I
753,459,577,291,Male,40,V
754,307,755,296,Male,60,V
755,293,543,319,Male,50,V
756,193,805,295,Male,46,I
757,126,549,292,Female,50,I
758,165,451,313,Female,62,IV
759,51,471,289,Female,37,V
760,137,196,294,Female,72,IV
761,203,267,308,Male,46,II
762,387,665,211,Male,46,I
763,180,752,277,Male,62,III
764,265,543,247,Female,38,V
765,930,1199,263,Male,55,I
766,80,191,327,Male,37,I
767,669,837,225,Female,55,I
768,413,665,291,Female,42,IV
769,213,700,317,Female,59,V
770,294,589,314,Male,45,III
771,817,1285,268,Male,46,IV
772,433,758,241,Male,62,I
773,368,666,294,Female,54,II
774,390,522,266,Male,48,I
775,267,451,289,Female,54,I
776,129,408,335,Male,59,II
777,554,785,276,Male,34,III
778,342,549,260,Male,45,III
779,251,483,334,Female,52,IV
780,108,108,313,Female,43,V
781,354,577,263,Male,69,V
782,150,380,266,Male,42,V
783,392,738,343,Male,55,I
784,137,329,359,Male,50,III
785,601,1083,308,Female,50,V
786,220,265,288,Female,46,I
787,66,385,311,Male,57,III
788,777,998,255,Female,32,V
789,68,185,306,Female,48,I
790,195,640,309,Female,61,V
791,303,716,375,Male,45,V
792,827,957,348,Female,55,II
793,150,578,309,Male,52,I
794,271,711,257,Male,45,III
795,444,653,291,Male,47,III
796,372,621,289,Male,49,III
797,421,914,222,Female,45,III
798,236,479,304,Male,39,IV
799,749,1102,263,Female,36,V
800,638,964,328,Male,49,V
801,1000,1214,242,Female,27,IV
802,122,122,263,Female,45,III
803,233,591,295,Male,38,I
804,401,715,316,Male,53,V
805,110,378,302,Female,50,II
806,379,786,282,Female,50,I
807,67,254,303,Male,55,IV
808,170,516,243,Female,66,IV
809,130,598,296,Male,73,II
810,748,1012,291,Female,53,III
811,216,480,328,Female,41,I
812,370,557,351,Male,47,V
813,93,412,271,Male,39,I
814,732,891,320,Female,23,III
815,449,519,311,Male,46,V
816,371,700,322,Female,39,V
817,465,692,240,Male,44,I
818,449,449,330,Male,54,I
819,425,850,273,Female,62,I
820,99,304,270,Female,48,IV
821,182,446,261,Female,49,V
822,242,533,326,Male,49,II
823,131,510,318,Male,49,I
824,367,430,272,Female,70,II
825,355,597,266,Male,56,V
826,352,473,270,Female,46,III
827,451,540,284,Male,44,III
828,290,592,271,Female,50,III
829,445,755,278,Male,18,III
830,48,453,287,Male,49,III
831,271,569,291,Female,52,III
832,188,704,340,Male,56,V
833,274,443,342,Female,42,IV
834,396,864,220,Male,39,V
835,476,799,275,Male,43,V
836,97,489,307,Male,80,I
837,272,677,292,Female,44,II
838,451,590,272,Male,51,III
839,122,522,274,Female,59,III
840,110,376,337,Female,37,I
841,367,860,287,Male,46,IV
842,175,528,291,Female,55,IV
843,179,246,280,Male,45,I
844,140,569,295,Male,54,IV
845,980,1182,257,Female,41,III
846,139,785,296,Female,47,V
847,414,865,259,Female,72,II
848,281,469,298,Female,67,I
849,241,512,291,Female,63,V
850,95,350,281,Male,53,IV
851,190,311,278,Male,60,V
852,1000,1487,264,Female,43,IV
853,416,628,223,Male,35,II
854,1000,1349,263,Female,53,III
855,866,1147,271,Female,37,IV
856,712,881,296,Female,41,II
857,164,214,307,Female,41,III
858,75,319,310,Female,40,III
859,485,952,237,Male,54,II
860,451,726,316,Male,51,IV
861,145,386,319,Male,49,I
862,136,303,314,Male,38,IV
863,309,699,307,Male,50,IV
864,678,1124,267,Female,49,I
865,529,778,249,Male,53,IV
866,192,306,309,Male,51,II
867,269,515,257,Female,48,III
868,378,687,277,Female,55,III
869,743,1181,267,Female,54,IV
870,105,292,312,Male,41,IV
871,230,526,286,Female,44,I
872,142,560,312,Female,30,IV
873,575,769,239,Female,56,II
874,388,662,279,Female,68,I
875,161,745,317,Male,58,II
876,470,952,266,Male,58,III
877,142,558,302,Male,35,III
878,85,488,263,Male,62,V
879,414,414,219,Male,64,III
880,141,477,265,Female,53,IV
881,291,568,278,Male,42,I
882,147,309,354,Male,65,III
883,348,406,305,Male,36,I
884,323,487,348,Male,49,V
885,56,394,269,Male,47,II
886,1000,1522,251,Male,43,II
887,162,799,232,Female,61,I
888,722,902,312,Male,53,IV
889,522,522,276,Female,68,III
890,206,446,273,Male,51,V
891,112,472,276,Female,38,II
892,552,820,300,Female,49,V
893,1000,1398,244,Female,19,III
894,146,588,303,Male,47,II
895,200,389,273,Female,38,I
896,264,520,309,Female,61,V
897,275,430,281,Female,42,IV
898,370,684,318,Male,40,I
899,317,755,246,Female,61,IV
900,441,652,252,Female,33,IV
901,327,639,279,Male,30,V
902,427,427,315,Male,65,V
903,537,819,281,Male,63,IV
904,261,608,302,Female,44,III
905,831,999,270,Male,38,IV
906,298,657,232,Female,29,IV
907,370,661,275,Female,48,II
908,238,660,316,Female,52,III
